T_C,P_sat_Pa,P_sat_bar,rho_liq,rho_vap,mu_liq_Pas,nu_liq_m2s,sigma_Nm,Bo_1 g (ground),Bo_0.01 g (low-g),Bo_0.001 g (micro-g)
9.5,767874.7775158716,7.678747775158715,531.7006162641569,16.1306326024642,0.00010922520020427322,2.054261305388604e-07,0.00893098446263712,13140.725864643633,131.40725864643633,13.140725864643631
10.0,778597.714028833,7.785977140288329,530.9196705973915,16.354401209926007,0.00010871557139070921,2.0476839983793088e-07,0.008866087645242078,13217.469641809475,132.17469641809475,13.217469641809474
10.5,789430.3906028963,7.894303906028964,530.1363921556967,16.58070674415571,0.00010820834690503204,2.0411416478130053e-07,0.008801265240670129,13295.174268564218,132.95174268564222,13.295174268564217
11.0,800373.4922678379,8.003734922678378,529.3507556056597,16.809575896462068,0.0001077034981931728,2.0346338803265373e-07,0.008736517624648124,13373.857931839882,133.73857931839882,13.373857931839883
11.5,811427.7056501362,8.114277056501363,528.5627352101977,17.04103575018315,0.00010720099689560123,2.0281603252444528e-07,0.008671845177157106,13453.539280958183,134.53539280958182,13.45353928095818
12.0,822593.718990587,8.22593718990587,527.7723048191216,17.275113789857183,0.00010670081484299334,2.021720614528303e-07,0.008607248282507468,13534.237442406382,135.34237442406385,13.534237442406383
12.5,833872.2221604555,8.338722221604556,526.9794378594083,17.51183791065998,0.00010620292405192167,2.015314382726548e-07,0.008542727329415975,13615.972035182582,136.15972035182583,13.61597203518258
13.0,845263.9066826411,8.45263906682641,526.1841073252012,17.751236428120187,0.00010570729672056893,2.0089412669249987e-07,0.008478282711084629,13698.76318673702,136.9876318673702,13.698763186737017
13.5,856769.4657490121,8.56769465749012,525.3862857674936,17.993338088119778,0.00010521390522440067,2.0026009066967238e-07,0.008413914825281468,13782.631549535643,137.82631549535643,13.78263154953564
14.0,868389.5942413544,8.683895942413544,524.5859452835072,18.238172077191695,0.00010472272211191092,1.9962929440535162e-07,0.008349624074423355,13867.598318275042,138.67598318275043,13.867598318275043
14.5,880124.9887513422,8.801249887513421,523.7830575057473,18.485768033123485,0.00010423372010024779,1.9900170233953027e-07,0.008285410865660784,13953.685247778682,139.5368524777868,13.953685247778678
15.0,891976.3476023091,8.91976347602309,522.9775935907213,18.736156055880983,0.00010374687207098222,1.9837727914625309e-07,0.00822127561096486,14040.914671605862,140.40914671605861,14.040914671605863
15.5,903944.3708717513,9.039443708717513,522.1695242073172,18.989366718858005,0.00010326215106576499,1.9775598972866668e-07,0.008157218727216397,14129.309521407242,141.2930952140724,14.129309521407238
16.0,916029.7604135814,9.160297604135813,521.3588195248119,19.245431080473434,0.00010277953028198855,1.971377992141115e-07,0.008093240636297287,14218.893347061356,142.18893347061356,14.218893347061353
16.5,928233.219882084,9.282332198820841,520.5454492005151,19.504380696114506,0.00010229898306848243,1.9652267294930603e-07,0.008029341765184201,14309.69033762979,143.09690337629792,14.30969033762979
17.0,940555.4547563127,9.405554547563126,519.7293823670257,19.766247630455634,0.00010182048292115357,1.959105764954604e-07,0.007965522546044655,14401.7253431698,144.01725343169798,14.4017253431698
17.5,952997.1723647907,9.529971723647908,518.9105876190791,20.031064470152533,0.00010134400347861911,1.9530147562341417e-07,0.007901783416335587,14495.023897445295,144.95023897445293,14.495023897445293
18.0,965559.0819125717,9.655590819125717,518.0890329999925,20.298864336933818,0.00010086951851781671,1.9469533630876562e-07,0.007838124818904441,14589.612241580393,145.89612241580397,14.589612241580394
18.5,978241.894507138,9.78241894507138,517.2646859876629,20.569680901103446,0.00010039700194960626,1.940921247270315e-07,0.007774547202092941,14685.51734870051,146.85517348700512,14.68551734870051
19.0,991046.323185542,9.91046323185542,516.4375134801271,20.843548395467533,9.992642781431026e-05,1.934918072487302e-07,0.0077110510198435496,14782.766949610177,147.82766949610178,14.782766949610172
19.5,1003973.0829447738,10.039730829447738,515.6074817806538,21.120501629706123,9.945777027727552e-05,1.9289435043455435e-07,0.007647636731808755,14881.389559558487,148.81389559558488,14.881389559558485
20.0,1017022.8907691078,10.170228907691078,514.7745565823448,21.400576005202524,9.899100362436116e-05,1.922997210304552e-07,0.007584304803463276,14981.414506146071,149.81414506146072,14.98141450614607
20.5,1030196.465661189,10.30196465661189,513.9387029522456,21.683807530351576,9.852610225738501e-05,1.9170788596269603e-07,0.0075210557062192675,15082.871958431317,150.82871958431315,15.082871958431312
21.0,1043494.5286732595,10.434945286732596,513.0998853149207,21.970232836365362,9.80630406895822e-05,1.911188123329923e-07,0.007457889917544641,15185.79295729568,151.8579295729568,15.18579295729568
21.5,1056917.8029383894,10.569178029383894,512.2580674354975,22.259889193593594,9.760179354096089e-05,1.9053246741350873e-07,0.007394807921084589,15290.209447132822,152.9020944713282,15.29020944713282
22.0,1070467.0137044326,10.704670137044326,511.4132124021358,22.552814528384552,9.714233553363777e-05,1.8994881864188628e-07,0.0073318102067864805,15396.154308928471,153.9615430892847,15.396154308928471
22.5,1084142.888367467,10.841428883674672,510.56528260791526,22.849047440502492,9.6684641487128e-05,1.8936783361624734e-07,0.007268897271028156,15503.66139480355,155.0366139480355,15.503661394803547
23.0,1097946.1565057964,10.979461565057964,509.71423973210835,23.148627221128795,9.62286863135802e-05,1.887894800901684e-07,0.0072060696167498125,15612.765564095957,156.12765564095957,15.612765564095954
23.5,1111877.5499177375,11.118775499177374,508.8600447208223,23.451593871470177,9.577444501293608e-05,1.8821372596758143e-07,0.007143327753589574,15723.50272106202,157.2350272106202,15.723502721062015
24.0,1125937.8026567756,11.259378026567756,508.0026577669738,23.757988121998334,9.532189266801971e-05,1.8764053929762088e-07,0.007080672198022902,15835.909854282541,158.35909854282542,15.835909854282539
24.5,1140127.651070373,11.40127651070373,507.1420382895725,24.06785145234766,9.487100443960643e-05,1.8706988826951896e-07,0.00701810347350593,15950.025077864266,159.50025077864265,15.950025077864261
25.0,1154447.8338387308,11.544478338387307,506.2781449122953,24.381226111899842,9.44217555613786e-05,1.865017412073667e-07,0.006955622110622953,16065.887674532982,160.65887674532982,16.06588767453298
25.5,1168899.0920149374,11.688990920149374,505.41093544130064,24.698155141085106,9.397412133481195e-05,1.8593606656484046e-07,0.006893228647238136,16183.538140719853,161.83538140719853,16.18353814071985
26.0,1183482.1690665048,11.834821690665049,504.54036684227356,25.018682393430783,9.352807712397018e-05,1.853728329198452e-07,0.006830923628651639,16303.018233749921,163.03018233749924,16.303018233749917
26.5,1198197.8109173898,11.981978109173898,503.6663952166464,25.34285255838901,9.308359835026338e-05,1.848120089691998e-07,0.006768707607760323,16424.371021247225,164.24371021247222,16.42437102124722
27.0,1213046.7659918293,12.130467659918294,502.7889757769816,25.670711184978106,9.264066048701554e-05,1.842535635230544e-07,0.00670658114522319,16547.64093287967,165.47640932879668,16.547640932879666
27.5,1228029.7852595246,12.280297852595245,501.9080628214642,26.00230470627651,9.219923905407568e-05,1.8369746549951767e-07,0.006644544809631762,16672.873814573202,166.72873814573202,16.6728738145732
28.0,1243147.622280745,12.43147622280745,501.0236097074689,26.33768046480388,9.175930961216501e-05,1.8314368391888803e-07,0.006582599177685531,16800.116985334116,168.00116985334114,16.800116985334114
28.5,1258401.0332556977,12.584010332556977,500.13556882417083,26.67688673883126,9.132084775723621e-05,1.8259218789804017e-07,0.0065207448343727655,16929.419296826974,169.29419296826975,16.92941929682697
29.0,1273790.7770710066,12.737907770710066,499.2438915641363,27.019972769662242,9.088382911467603e-05,1.8204294664464708e-07,0.006458982373156781,17060.83119586479,170.60831195864787,17.060831195864786
29.5,1289317.6153516287,12.893176153516288,498.34852829387825,27.366988789930346,9.044822933335072e-05,1.814959294512314e-07,0.006397312396167942,17194.404789979653,171.94404789979654,17.194404789979654
30.0,1304982.3125117465,13.049823125117465,497.44942832329895,27.71798605296152,9.0014024079589e-05,1.809511056892555e-07,0.006335735514401617,17330.193916251294,173.30193916251295,17.33019391625129
30.5,1320785.635808137,13.20785635808137,496.54653987398757,28.073016863243026,8.958118903093792e-05,1.8040844480292146e-07,0.0062742523479223005,17468.25421358446,174.6825421358446,17.468254213584455
